0[0-0], 0[1-0], 0[2-0], 0[3-0], 0[4-0], 0[5-0], 0[6-0], 0[7-0], 0[8-0], 0[9-0], 0[10-0], 0[11-0], 0[12-0], 0[13-0], 0[14-0], 0[15-0], 0[16-0], 0[17-0], 0[18-0], 0[19-0], 0[20-0], 0[21-0], 0[22-0], 0[23-0], 0[24-0], 0[25-0], 0[26-0], 0[27-0], 0[28-0], 0[29-0], 
0[0-1], 0[1-1], 0[2-1], 0[3-1], 0[4-1], 0[5-1], 0[6-1], 0[7-1], 0[8-1], 0[9-1], 0[10-1], 0[11-1], 0[12-1], 0[13-1], 0[14-1], 0[15-1], 0[16-1], 0[17-1], 0[18-1], 0[19-1], 0[20-1], 0[21-1], 0[22-1], 0[23-1], 0[24-1], 0[25-1], 0[26-1], 0[27-1], 0[28-1], 0[29-1], 
0[0-2], 0[1-2], 0[2-2], 0[3-2], 0[4-2], 0[5-2], 0[6-2], 0[7-2], 0[8-2], 0[9-2], 0[10-2], 0[11-2], 0[12-2], 0[13-2], 0[14-2], 0[15-2], 0[16-2], 0[17-2], 0[18-2], 0[19-2], 0[20-2], 0[21-2], 0[22-2], 0[23-2], 0[24-2], 0[25-2], 0[26-2], 0[27-2], 0[28-2], 0[29-2], 
0[0-3], 0[1-3], 0[2-3], 0[3-3], 0[4-3], 0[5-3], 0[6-3], 0[7-3], 0[8-3], 0[9-3], 0[10-3], 0[11-3], 0[12-3], 0[13-3], 0[14-3], 0[15-3], 0[16-3], 0[17-3], 0[18-3], 0[19-3], 0[20-3], 0[21-3], 0[22-3], 0[23-3], 0[24-3], 0[25-3], 0[26-3], 0[27-3], 0[28-3], 0[29-3], 
0[0-4], 0[1-4], 0[2-4], 0[3-4], 0[4-4], 0[5-4], 0[6-4], 0[7-4], 0[8-4], 0[9-4], 0[10-4], 0[11-4], 0[12-4], 0[13-4], 0[14-4], 0[15-4], 0[16-4], 0[17-4], 0[18-4], 0[19-4], 0[20-4], 0[21-4], 0[22-4], 0[23-4], 0[24-4], 0[25-4], 0[26-4], 0[27-4], 0[28-4], 0[29-4], 
0[0-5], 0[1-5], 0[2-5], 0[3-5], 0[4-5], 0[5-5], 0[6-5], 0[7-5], 0[8-5], 0[9-5], 0[10-5], 0[11-5], 0[12-5], 0[13-5], 0[14-5], 0[15-5], 0[16-5], 0[17-5], 0[18-5], 0[19-5], 0[20-5], 0[21-5], 0[22-5], 0[23-5], 0[24-5], 0[25-5], 0[26-5], 0[27-5], 0[28-5], 0[29-5], 
0[0-6], 0[1-6], 0[2-6], 0[3-6], 0[4-6], 0[5-6], 0[6-6], 0[7-6], 0[8-6], 0[9-6], 0[10-6], 0[11-6], 0[12-6], 0[13-6], 0[14-6], 0[15-6], 0[16-6], 0[17-6], 0[18-6], 0[19-6], 0[20-6], 0[21-6], 0[22-6], 0[23-6], 0[24-6], 0[25-6], 0[26-6], 0[27-6], 0[28-6], 0[29-6], 
0[0-7], 0[1-7], 0[2-7], 0[3-7], 0[4-7], 0[5-7], 0[6-7], 0[7-7], 0[8-7], 0[9-7], 0[10-7], 0[11-7], 0[12-7], 0[13-7], 0[14-7], 0[15-7], 0[16-7], 0[17-7], 0[18-7], 0[19-7], 0[20-7], 0[21-7], 0[22-7], 0[23-7], 0[24-7], 0[25-7], 0[26-7], 0[27-7], 0[28-7], 0[29-7], 
0[0-8], 0[1-8], 0[2-8], 0[3-8], 0[4-8], 0[5-8], 0[6-8], 0[7-8], 0[8-8], 0[9-8], 0[10-8], 0[11-8], 0[12-8], 0[13-8], 0[14-8], 0[15-8], 0[16-8], 0[17-8], 0[18-8], 0[19-8], 0[20-8], 0[21-8], 0[22-8], 0[23-8], 0[24-8], 0[25-8], 0[26-8], 0[27-8], 0[28-8], 0[29-8], 
3[0-9], 3[1-9], 3[2-9], 3[3-9], 3[4-9], 3[5-9], 3[6-9], 3[7-9], 3[8-9], 3[9-9], 3[10-9], 3[11-9], 3[12-9], 3[13-9], 3[14-9], 3[15-9], 3[16-9], 3[17-9], 3[18-9], 3[19-9], 3[20-9], 3[21-9], 3[22-9], 3[23-9], 3[24-9], 3[25-9], 3[26-9], 3[27-9], 3[28-9], 3[29-9], 
3[0-10], 3[1-10], 3[2-10], 3[3-10], 3[4-10], 3[5-10], 3[6-10], 3[7-10], 3[8-10], 3[9-10], 3[10-10], 3[11-10], 3[12-10], 3[13-10], 3[14-10], 3[15-10], 3[16-10], 3[17-10], 3[18-10], 3[19-10], 3[20-10], 3[21-10], 3[22-10], 3[23-10], 3[24-10], 3[25-10], 3[26-10], 3[27-10], 3[28-10], 3[29-10], 
3[0-11], 3[1-11], 3[2-11], 3[3-11], 3[4-11], 3[5-11], 3[6-11], 3[7-11], 3[8-11], 3[9-11], 3[10-11], 3[11-11], 3[12-11], 3[13-11], 3[14-11], 3[15-11], 3[16-11], 3[17-11], 3[18-11], 3[19-11], 3[20-11], 3[21-11], 3[22-11], 3[23-11], 3[24-11], 3[25-11], 3[26-11], 3[27-11], 3[28-11], 3[29-11], 
3[0-12], 3[1-12], 3[2-12], 3[3-12], 3[4-12], 3[5-12], 3[6-12], 3[7-12], 3[8-12], 3[9-12], 3[10-12], 3[11-12], 3[12-12], 3[13-12], 3[14-12], 3[15-12], 3[16-12], 3[17-12], 3[18-12], 3[19-12], 3[20-12], 3[21-12], 3[22-12], 3[23-12], 3[24-12], 3[25-12], 3[26-12], 3[27-12], 3[28-12], 3[29-12], 
3[0-13], 3[1-13], 3[2-13], 3[3-13], 3[4-13], 3[5-13], 3[6-13], 3[7-13], 3[8-13], 3[9-13], 3[10-13], 3[11-13], 3[12-13], 3[13-13], 3[14-13], 3[15-13], 3[16-13], 3[17-13], 3[18-13], 3[19-13], 3[20-13], 3[21-13], 3[22-13], 3[23-13], 3[24-13], 3[25-13], 3[26-13], 3[27-13], 3[28-13], 3[29-13], 
3[0-14], 3[1-14], 3[2-14], 3[3-14], 3[4-14], 3[5-14], 3[6-14], 3[7-14], 3[8-14], 3[9-14], 3[10-14], 3[11-14], 3[12-14], 3[13-14], 3[14-14], 3[15-14], 3[16-14], 3[17-14], 3[18-14], 3[19-14], 3[20-14], 3[21-14], 3[22-14], 3[23-14], 3[24-14], 3[25-14], 3[26-14], 3[27-14], 3[28-14], 3[29-14], 
3[0-15], 3[1-15], 3[2-15], 3[3-15], 3[4-15], 3[5-15], 3[6-15], 3[7-15], 3[8-15], 3[9-15], 3[10-15], 3[11-15], 3[12-15], 3[13-15], 3[14-15], 3[15-15], 3[16-15], 3[17-15], 3[18-15], 3[19-15], 3[20-15], 3[21-15], 3[22-15], 3[23-15], 3[24-15], 3[25-15], 3[26-15], 3[27-15], 3[28-15], 3[29-15], 
3[0-16], 3[1-16], 3[2-16], 3[3-16], 3[4-16], 3[5-16], 3[6-16], 3[7-16], 3[8-16], 3[9-16], 3[10-16], 3[11-16], 3[12-16], 3[13-16], 3[14-16], 3[15-16], 3[16-16], 3[17-16], 3[18-16], 3[19-16], 3[20-16], 3[21-16], 3[22-16], 3[23-16], 3[24-16], 3[25-16], 3[26-16], 3[27-16], 3[28-16], 3[29-16], 
